Station ID,Company Name,Location,Industry Domain,Preferred Branches,Stipend (UG),Stipend (PG),Have Accommodation?(Y or N)
5580,Icare Foundation- Digital initatives,Mexico,Finance and Mgmt,Any,0,0,N
5583,Icare Foundation- Project tracker,Mexico,Finance and Mgmt,Any,0,0,N
4339,IMARC Services Pvt. Ltd. - IT,Noida,Finance and Mgmt,Any,0,0,N
5588,IMARC Services-Market Reasearch,Noida,Finance and Mgmt,Any,0,0,N
4539,India Buys - IT,Hyderabad,Finance and Mgmt,Any,0,0,N
5589,India Buys-Marketing,Hyderabad ,Finance and Mgmt,Any,0,0,N
2671,Indian Council for Research on International Economic Relations - Electric Mobility Work Program,New delhi,Finance and Mgmt,B3,0,0,N
5458,Indian Council for Research on International Economic Relations - Price forecasting of agricultural commodities,New Delhi,Finance and Mgmt,B3,0,0,N
5590,Indian Council for Research on International Economic Relations- Climate change,New delhi,Finance and Mgmt,B3,0,0,N
3639,Indian Institute of Public Administration - Secondary Research,New delhi,Finance and Mgmt,B3,0,0,N
4520,Indian Red Cross Society - Operations- General Management,Vijayawada,Finance and Mgmt,Any,0,0,N
5945,Indian Red Cross Society Blood Bank - App/AR/VR,New delhi,Finance and Mgmt,"A3 , A8 , AA",0,0,N
59,Indian Red Cross Society Blood Bank - Social Sector,New delhi,Finance and Mgmt,Any,0,0,N
5434,Indian Red Cross Society,Hyderabad,Finance and Mgmt,Any,0,0,N
5593,IRCS Delhi General Management,New delhi,Finance and Mgmt,Any,0,0,N
5596,IRCS Delhi wireframe design,New delhi,Finance and Mgmt,Any,0,0,N
5598,IRCS Hyderabad General Management,Hyderabad ,Finance and Mgmt,Any,0,0,N
6007,Knowcross Solutions Pvt Ltd - Non Tech ,New Delhi,Finance and Mgmt,Any,0,0,N
5604,Kotak education- content writing,Mumbai,Finance and Mgmt,Any,0,0,N
5605,Kotak education- dashboard development,Mumbai,Finance and Mgmt,Any,0,0,N
5639,Kotak Education- infographics and video based content,Mumbai,Finance and Mgmt,Any,0,0,N
5640,Kotak education- performance monitoring & evaluation,Mumbai,Finance and Mgmt,Any,0,0,N
5641,Kotak education- Portfolio analysis,Mumbai,Finance and Mgmt,Any,0,0,N
5650,Lakshyam NGO-General Management,Delhi,Finance and Mgmt,Any,0,0,N
5656,Learning Mate Solution-Data Analytics on Higehr education,Mumbai,Finance and Mgmt,Any,0,0,N
5653,Learning Mate- Content Architecture,Mumbai,Finance and Mgmt,Any,0,0,N
5654,Learning Mate- Data Insights for higher education,Mumbai,Finance and Mgmt,Any,0,0,N
5655,Learning Mate- Data Insights on K-12,Mumbai,Finance and Mgmt,Any,0,0,N
5410,Love Without Boundaries Foundation- General Management,Kolkata,Finance and Mgmt,Any,0,0,N
5663,Medcords- Business Analysis,Pune,Finance and Mgmt,Any,0,0,N
5664,Medcords- content writing,Pune,Finance and Mgmt,Any,0,0,N
5665,Medcords- Digital marketing,Pune,Finance and Mgmt,Any,0,0,N
5666,Medcords- Graphic designing,Pune,Finance and Mgmt,Any,0,0,N
5667,Medcords- Quality Analysis,Pune,Finance and Mgmt,Any,0,0,N
5668,Medcords- Research in finance,Pune,Finance and Mgmt,B3,0,0,N
5671,Million Sparks Foundation -social media Marketing,Noida,Finance and Mgmt,Any,0,0,N
5670,Million Sparks Foundation content creation,Noida,Finance and Mgmt,Any,0,0,N
6008,Modish Tractor Aurkisan Pvt. Ltd ( Balwaan Agri Power Tools) ,Jaipur,Finance and Mgmt,"A4 , A7 , AB , C6",0,0,N
5672,MSys Technologies- General Management,Chennai,Finance and Mgmt,Any,0,0,N
5678,NIRDPM- Analytics and IT Management,Hyderabad ,Finance and Mgmt,Any,0,0,N
5679,NIRDPM- Civil,Hyderabad ,Finance and Mgmt,A2,0,0,N
4208,NIVEA India Pvt.Ltd.,Bangalore,Finance and Mgmt,Unavailable,Unavailable,Unavailable,N
6030,Paramartha Advisors- Marketing,New delhi,Finance and Mgmt,Any,0,0,N
5681,Pilani AtmaNirbhar Resource Center (PARC)- Communication,Pilani,Finance and Mgmt,Any,0,0,N
5682,Pilani AtmaNirbhar Resource Center (PARC)- Digital Literacy,Pilani,Finance and Mgmt,Any,0,0,N
5683,Pilani AtmaNirbhar Resource Center (PARC)- Photography,Pilani,Finance and Mgmt,Any,0,0,N
5684,Pilani AtmaNirbhar Resource Center (PARC)- Spatial mapping,Pilani,Finance and Mgmt,Any,0,0,N
